% Created using /stochastic/trunk/tools/piCurves/piCurve.py
% and /home/andrew.matas/repositories/stochastic/trunk/analyses/O2/iso/results/PI_curve/make_o1o2_py_curve.py
%
# f (Hz)	sigma(f)	PI(f)
2.000000e+01	4.247992e-06	1.711954e-07
2.003125e+01	2.390033e-06	1.685434e-07
2.006250e+01	2.947924e-06	1.659364e-07
2.009375e+01	2.916542e-06	1.633737e-07
2.012500e+01	2.880438e-06	1.608545e-07
2.015625e+01	2.817492e-06	1.583780e-07
2.018750e+01	2.776515e-06	1.559433e-07
2.021875e+01	2.362223e-06	1.535498e-07
2.025000e+01	2.362987e-06	1.511965e-07
2.028125e+01	2.225590e-06	1.488830e-07
2.031250e+01	2.093370e-06	1.466082e-07
2.034375e+01	2.093365e-06	1.443717e-07
2.037500e+01	1.828069e-06	1.421726e-07
2.040625e+01	1.864118e-06	1.400103e-07
2.043750e+01	1.824262e-06	1.378842e-07
2.046875e+01	1.822062e-06	1.357935e-07
2.050000e+01	1.793892e-06	1.337376e-07
2.053125e+01	1.642050e-06	1.317159e-07
2.056250e+01	1.629858e-06	1.297278e-07
2.059375e+01	1.733723e-06	1.277726e-07
2.062500e+01	1.852477e-06	1.258498e-07
2.065625e+01	1.870675e-06	1.239588e-07
2.068750e+01	1.698718e-06	1.220990e-07
2.071875e+01	2.357213e-06	1.202698e-07
2.075000e+01	2.368336e-06	1.184708e-07
2.078125e+01	2.328830e-06	1.167012e-07
2.081250e+01	2.302653e-06	1.149608e-07
2.084375e+01	2.269904e-06	1.132488e-07
2.087500e+01	1.461131e-06	1.115648e-07
2.090625e+01	1.675418e-06	1.099084e-07
2.093750e+01	1.752911e-06	1.082789e-07
2.096875e+01	1.638245e-06	1.066760e-07
2.100000e+01	1.764942e-06	1.050992e-07
2.103125e+01	1.299678e-06	1.035479e-07
2.106250e+01	1.227264e-06	1.020218e-07
2.109375e+01	1.163102e-06	1.005204e-07
2.112500e+01	1.095671e-06	9.904327e-08
2.115625e+01	1.026220e-06	9.758998e-08
2.118750e+01	9.430386e-07	9.616012e-08
2.121875e+01	9.120983e-07	9.475327e-08
2.125000e+01	9.324684e-07	9.336902e-08
2.128125e+01	8.936156e-07	9.200699e-08
2.131250e+01	8.558982e-07	9.066678e-08
2.134375e+01	8.380603e-07	8.934801e-08
2.137500e+01	8.212759e-07	8.805032e-08
2.140625e+01	1.115470e-06	8.677332e-08
2.143750e+01	1.299152e-06	8.551667e-08
2.146875e+01	9.719401e-07	8.428001e-08
2.150000e+01	8.575162e-07	8.306299e-08
2.153125e+01	8.355240e-07	8.186527e-08
2.156250e+01	8.564916e-07	8.068653e-08
2.159375e+01	9.396201e-07	7.952643e-08
2.162500e+01	9.759288e-07	7.838464e-08
2.165625e+01	9.003617e-07	7.726087e-08
2.168750e+01	8.597835e-07	7.615479e-08
